TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	pers	pers	pers	pers	scope	scope	scope	scope	work	work	work	work
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	11.743635177612305	1.2380776926875114	0.0	0.8881941890400883	0.0	0.0	0.0	0.0	0.0	126	0.0	0.0	0.0	169	0.0	0.0	0.0	101
2	10.453092813491821	0.4747032051285108	0.0	0.8881941890400883	0.0	0.0	0.0	0.0	0.0	126	0.0	0.0	0.0	169	0.0	0.0	0.0	101
3	11.202467918395996	0.33451738705237705	0.40549828178694153	0.9172489885987496	0.3710691823899371	0.44696969696969696	0.4153846153846154	0.6428571428571429	0.5046728971962617	126	0.3404255319148936	0.5680473372781065	0.425720620842572	169	0.0	0.0	0.0	101
4	11.413715600967407	0.2291929175456365	0.4784130688448074	0.9372931224714969	0.44468546637744033	0.5176767676767676	0.5138121546961326	0.7380952380952381	0.6058631921824106	126	0.45023696682464454	0.5621301775147929	0.4999999999999999	169	0.2463768115942029	0.16831683168316833	0.2	101
5	11.19020962715149	0.17019366100430489	0.5707376058041113	0.9543949981610886	0.5475638051044084	0.5959595959595959	0.7407407407407407	0.6349206349206349	0.6837606837606837	126	0.4807692307692308	0.591715976331361	0.5305039787798409	169	0.48695652173913045	0.5544554455445545	0.5185185185185186	101
6	10.514267206192017	0.12994010436038175	0.6658536585365854	0.9619345347554248	0.6438679245283019	0.6893939393939394	0.7565217391304347	0.6904761904761905	0.7219917012448134	126	0.6113989637305699	0.6982248520710059	0.6519337016574586	169	0.5862068965517241	0.6732673267326733	0.6267281105990783	101
7	10.481220960617065	0.10561176824072997	0.7319461444308446	0.9650606840750275	0.7102137767220903	0.7550505050505051	0.75	0.7857142857142857	0.7674418604651163	126	0.6944444444444444	0.7396449704142012	0.7163323782234957	169	0.6880733944954128	0.7425742574257426	0.7142857142857144	101
8	10.53880524635315	0.08930248642961185	0.7512315270935961	0.9676351599852887	0.7331730769230769	0.7702020202020202	0.7890625	0.8015873015873016	0.7952755905511811	126	0.7191011235955056	0.757396449704142	0.7377521613832854	169	0.6909090909090909	0.7524752475247525	0.7203791469194313	101
9	10.592064619064331	0.08133740288515885	0.76	0.9680029422581832	0.7524752475247525	0.7676767676767676	0.7769230769230769	0.8015873015873016	0.7890624999999999	126	0.7352941176470589	0.7396449704142012	0.7374631268436578	169	0.75	0.7722772277227723	0.7609756097560977	101
10	10.489884853363037	0.07461151946336031	0.75	0.9681868333946304	0.7285714285714285	0.7727272727272727	0.7734375	0.7857142857142857	0.7795275590551181	126	0.7078651685393258	0.7455621301775148	0.7262247838616714	169	0.7105263157894737	0.801980198019802	0.7534883720930233	101
