TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	loc	loc	loc	loc	org	org	org	org	pers	pers	pers	pers	prod	prod	prod	prod	time	time	time	time
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	51.155179500579834	0.4656762309886258	0.5196270853778214	0.9441870261162595	0.45314505776636715	0.60897067280046	0.4630924630924631	0.7700258397932817	0.5783600194080544	774	0.1623931623931624	0.11875	0.1371841155234657	160	0.4774193548387097	0.6453488372093024	0.5488257107540173	688	0.0	0.0	0.0	49	0.0	0.0	0.0	68
2	51.592453479766846	0.12744365272850827	0.6939452585015206	0.969776748104465	0.6682641107561236	0.721679125934445	0.6688741721854304	0.91343669250646	0.7722555980338612	774	0.453125	0.3625	0.40277777777777773	160	0.7337883959044369	0.625	0.6750392464678179	688	0.4375	0.2857142857142857	0.345679012345679	49	0.6133333333333333	0.6764705882352942	0.6433566433566433	68
3	51.61542630195618	0.0727920753817106	0.8063794068270845	0.9765427548441449	0.7852861035422344	0.828637147786084	0.8426698450536353	0.91343669250646	0.8766274023558586	774	0.5284974093264249	0.6375	0.5779036827195467	160	0.8373493975903614	0.8081395348837209	0.8224852071005918	688	0.48333333333333334	0.5918367346938775	0.5321100917431193	49	0.5949367088607594	0.6911764705882353	0.6394557823129252	68
4	51.36636209487915	0.04712813880679936	0.8148354712771891	0.9767796967144061	0.7910124526258798	0.8401380103507763	0.8495788206979543	0.9121447028423773	0.8797507788161995	774	0.630057803468208	0.68125	0.6546546546546546	160	0.7927677329624478	0.8284883720930233	0.810234541577825	688	0.5510204081632653	0.5510204081632653	0.5510204081632653	49	0.6533333333333333	0.7205882352941176	0.6853146853146852	68
5	51.42017221450806	0.031901721569613135	0.8285955530537573	0.9791754422914911	0.8114663726571113	0.8464634847613571	0.8990944372574385	0.8979328165374677	0.8985132514544278	774	0.5924170616113744	0.78125	0.6738544474393531	160	0.8219971056439942	0.8255813953488372	0.8237853517041335	688	0.49230769230769234	0.6530612244897959	0.5614035087719299	49	0.7027027027027027	0.7647058823529411	0.7323943661971832	68
6	51.24222779273987	0.02281755742071004	0.8200000000000001	0.9796493260320135	0.7931219774314885	0.8487636572742956	0.8507109004739336	0.9276485788113695	0.8875154511742893	774	0.5585585585585585	0.775	0.6492146596858638	160	0.8286140089418778	0.8081395348837209	0.8182487122884474	688	0.5	0.5714285714285714	0.5333333333333333	49	0.7352941176470589	0.7352941176470589	0.735294117647059	68
7	51.778932332992554	0.016811287994014806	0.8469184890656064	0.9806234203875316	0.8367003367003367	0.8573893041978148	0.8865069356872636	0.9082687338501292	0.8972559029993619	774	0.7142857142857143	0.71875	0.7165109034267914	160	0.8479196556671449	0.8590116279069767	0.8534296028880867	688	0.5272727272727272	0.5918367346938775	0.5576923076923076	49	0.6973684210526315	0.7794117647058824	0.7361111111111112	68
8	51.2435941696167	0.012431089629836637	0.8492131616595135	0.9804391322662174	0.8451025056947609	0.8533640023001725	0.8919597989949749	0.917312661498708	0.9044585987261147	774	0.7297297297297297	0.675	0.7012987012987014	160	0.8497109826589595	0.8546511627906976	0.8521739130434782	688	0.574468085106383	0.5510204081632653	0.5625	49	0.6986301369863014	0.75	0.7234042553191489	68
9	51.45967984199524	0.010171982921370915	0.8517887563884157	0.9807550547598989	0.8412787436904094	0.8625646923519263	0.8978562421185372	0.9198966408268734	0.9087428206764518	774	0.6845238095238095	0.71875	0.7012195121951219	160	0.8532374100719424	0.8619186046511628	0.8575560375994216	688	0.5471698113207547	0.5918367346938775	0.5686274509803921	49	0.6891891891891891	0.75	0.7183098591549296	68
10	51.21731233596802	0.008551805870254236	0.84950213371266	0.9805444397641112	0.8406531531531531	0.8585393904542841	0.8974683544303798	0.9160206718346253	0.9066496163682864	774	0.6867469879518072	0.7125	0.6993865030674846	160	0.8501440922190202	0.8575581395348837	0.8538350217076701	688	0.5576923076923077	0.5918367346938775	0.5742574257425743	49	0.6891891891891891	0.75	0.7183098591549296	68
