TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	loc	loc	loc	loc	org	org	org	org	pers	pers	pers	pers
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	115.28341054916382	0.17609020770716488	0.5224641037517369	0.962438280381563	0.43788819875776397	0.6475315729047072	0.5248538011695907	0.6957364341085271	0.5983333333333333	516	0.0	0.0	0.0	41	0.3394039735099338	0.6528662420382165	0.4466230936819172	314
2	115.22227644920349	0.08351933748874449	0.5982465188241362	0.9652302044825892	0.5430711610486891	0.6659012629161883	0.647787610619469	0.7093023255813954	0.6771507863089732	516	0.0	0.0	0.0	41	0.4376278118609407	0.6815286624203821	0.5330012453300124	314
3	114.59999823570251	0.06320982618271408	0.6130790190735694	0.9614300855673035	0.507137490608565	0.7749712973593571	0.6144927536231884	0.8217054263565892	0.703150912106136	516	0.053763440860215055	0.12195121951219512	0.07462686567164178	41	0.4489051094890511	0.7834394904458599	0.5707656612529003	314
4	114.59935307502747	0.0482084072944253	0.6354022988505748	0.9632655171522374	0.5299079754601227	0.7933409873708381	0.6181556195965417	0.8313953488372093	0.7090909090909091	516	0.0	0.0	0.0	41	0.43812709030100333	0.8343949044585988	0.5745614035087719	314
5	114.54650568962097	0.03897287504033262	0.6279491833030851	0.9627743453196494	0.5191297824456114	0.7944890929965557	0.6013698630136987	0.8507751937984496	0.7046548956661316	516	0.029411764705882353	0.024390243902439025	0.02666666666666667	41	0.4428822495606327	0.802547770700637	0.5707814269535674	314
6	114.82487511634827	0.025071314529032634	0.6306898169873298	0.966160845849598	0.5333333333333333	0.7715269804822044	0.5972413793103448	0.8391472868217055	0.6978243352135374	516	0.05555555555555555	0.04878048780487805	0.05194805194805195	41	0.4749498997995992	0.7547770700636943	0.5830258302583026	314
7	114.46899485588074	0.017468530439624663	0.636609558160505	0.9625933872760645	0.5241276911655531	0.8105625717566016	0.6178082191780822	0.874031007751938	0.7239165329052969	516	0.07216494845360824	0.17073170731707318	0.10144927536231883	41	0.47692307692307695	0.7898089171974523	0.5947242206235013	314
8	113.59817552566528	0.012223965934778851	0.6290613718411553	0.9633947728976553	0.5182156133828997	0.8002296211251435	0.6013513513513513	0.8624031007751938	0.7085987261146496	516	0.0784313725490196	0.0975609756097561	0.08695652173913043	41	0.44765342960288806	0.7898089171974523	0.5714285714285714	314
9	114.30481839179993	0.00990639218563368	0.6416861826697893	0.9648682883954192	0.5419303797468354	0.7864523536165328	0.625544267053701	0.8352713178294574	0.7153526970954357	516	0.1	0.12195121951219512	0.10989010989010989	41	0.4742857142857143	0.7929936305732485	0.5935637663885579	314
10	114.01663970947266	0.008324502835127251	0.6432970156324017	0.9657730786133444	0.5475806451612903	0.7795637198622273	0.627906976744186	0.8372093023255814	0.717607973421927	516	0.11363636363636363	0.12195121951219512	0.1176470588235294	41	0.4763779527559055	0.7707006369426752	0.5888077858880778	314
