TRAINING	TRAINING	TRAINING	ALL	ALL	ALL	ALL	BUILDING	BUILDING	BUILDING	BUILDING	LOC	LOC	LOC	LOC	STREET	STREET	STREET	STREET
EP	TIME	LOSS	F1	A	P	R	P	R	F1	N	P	R	F1	N	P	R	F1	N
1	38.80223345756531	0.28261870543162027	0.4451127819548872	0.9715770939884296	0.34579439252336447	0.6244725738396625	0.0	0.0	0.0	19	0.34579439252336447	0.736318407960199	0.4705882352941177	201	0.0	0.0	0.0	17
2	39.53967332839966	0.09758338770932622	0.5714285714285715	0.9793745283809843	0.46774193548387094	0.7341772151898734	0.0	0.0	0.0	19	0.46774193548387094	0.8656716417910447	0.6073298429319371	201	0.0	0.0	0.0	17
3	38.848249435424805	0.06885384875867102	0.680327868852459	0.9867527458707135	0.6613545816733067	0.70042194092827	0.14705882352941177	0.2631578947368421	0.18867924528301885	19	0.7370892018779343	0.7810945273631841	0.7584541062801933	201	1.0	0.23529411764705882	0.38095238095238093	17
4	38.70886278152466	0.04658977198931906	0.7100371747211895	0.9853274084011068	0.6345514950166113	0.8059071729957806	0.225	0.47368421052631576	0.30508474576271183	19	0.7184873949579832	0.8507462686567164	0.7790432801822322	201	0.4782608695652174	0.6470588235294118	0.55	17
5	38.647704124450684	0.032437527924776076	0.7480314960629921	0.9877588664374948	0.7011070110701108	0.8016877637130801	0.2727272727272727	0.47368421052631576	0.34615384615384615	19	0.7741935483870968	0.835820895522388	0.8038277511961721	201	0.6190476190476191	0.7647058823529411	0.6842105263157895	17
6	38.62861895561218	0.022239343563301695	0.7755102040816326	0.9883457701014505	0.7509881422924901	0.8016877637130801	0.43478260869565216	0.5263157894736842	0.47619047619047616	19	0.7952380952380952	0.8308457711442786	0.8126520681265207	201	0.65	0.7647058823529411	0.7027027027027027	17
7	38.619457960128784	0.01698009210328261	0.7538461538461538	0.9864173723484531	0.6925795053003534	0.8270042194092827	0.37037037037037035	0.5263157894736842	0.43478260869565216	19	0.7341772151898734	0.8656716417910447	0.7945205479452054	201	0.631578947368421	0.7058823529411765	0.6666666666666667	17
8	39.094817876815796	0.012356424559321668	0.7609561752988048	0.9872558061541041	0.720754716981132	0.8059071729957806	0.3333333333333333	0.5263157894736842	0.4081632653061224	19	0.786046511627907	0.8407960199004975	0.8125	201	0.6	0.7058823529411765	0.6486486486486486	17
9	39.1783652305603	0.01016568455638157	0.7529411764705883	0.9869204326318437	0.7032967032967034	0.810126582278481	0.37037037037037035	0.5263157894736842	0.43478260869565216	19	0.7567567567567568	0.835820895522388	0.7943262411347517	201	0.5833333333333334	0.8235294117647058	0.6829268292682927	17
10	38.96908950805664	0.008427748906736572	0.7544204322200393	0.9870881193929739	0.7058823529411765	0.810126582278481	0.38461538461538464	0.5263157894736842	0.4444444444444444	19	0.7601809954751131	0.835820895522388	0.7962085308056871	201	0.56	0.8235294117647058	0.6666666666666666	17
